Rank,Name,Position,Team,Weekly Salary,year
218.0,Freddie Woodman,Goalkeeper,NUFC,3000,2014
218.0,Reece Burke,Defender,WHUFC,3000,2014
222.0,Connor Randall,Defender,LFC,2000,2014
222.0,Sebastien Pocognoli,Defender,WBAFC,2000,2014
224.0,Will Wood,Defender,SFC,800,2014
225.0,Harry Cornick,Midfielder,BOU,750,2014
226.0,Lukasz Fabianski,Goalkeeper,SWFC,586,2014
1.0,Fernando Torres,Forward,CFC,340362,2015
2.0,Wayne Rooney,Forward,MUFC,300000,2015
3.0,Eden Hazard,Midfielder,CFC,225000,2015
4.0,Sergio Aguero,Forward,MCFC,220000,2015
4.0,Yaya Toure,Midfielder,MCFC,220000,2015
6.0,David de Gea,Goalkeeper,MUFC,200000,2015
7.0,Diego Costa,Forward,CFC,185000,2015
8.0,David Silva,Midfielder,MCFC,160000,2015
8.0,Juan Mata,Midfielder,MUFC,160000,2015
10.0,Lukas Podolski,Forward,AFC,157769,2015
11.0,Cesc Fabregas,Midfielder,CFC,156000,2015
12.0,Andre Schurrle,Forward,CFC,152623,2015
13.0,Oscar,Midfielder,CFC,152255,2015
14.0,John Terry,Defender,CFC,150000,2015
14.0,Kevin De Bruyne,Midfielder,MCFC,150000,2015
14.0,Vincent Kompany,Defender,MCFC,150000,2015
14.0,Samir Nasri,Forward,MCFC,150000,2015
14.0,Raheem Sterling,Forward,MCFC,150000,2015
19.0,Mesut Ozil,Midfielder,AFC,140000,2015
19.0,Alexis Sanchez,Forward,AFC,140000,2015
19.0,Theo Walcott,Forward,AFC,140000,2015
19.0,Christian Benteke,Forward,LFC,140000,2015
19.0,James Milner,Midfielder,LFC,140000,2015
24.0,Demba Ba,Forward,CFC,137276,2015
25.0,Daniel Sturridge,Forward,LFC,130000,2015
26.0,Danny Welbeck,Forward,AFC,125000,2015
27.0,Thibaut Courtois,Goalkeeper,CFC,120000,2015
27.0,Nicolas Otamendi,Defender,MCFC,120000,2015
27.0,Ashley Young,Midfielder,MUFC,120000,2015
30.0,Joe Hart,Goalkeeper,MCFC,116000,2015
31.0,Ander Herrera,Midfielder,MUFC,115000,2015
32.0,Aaron Ramsey,Midfielder,AFC,110000,2015
32.0,Anthony Martial,Forward,MUFC,110000,2015
32.0,Marcos Rojo,Defender,MUFC,110000,2015
32.0,Luke Shaw,Defender,MUFC,110000,2015
36.0,Santi Cazorla,Midfielder,AFC,100000,2015
36.0,Petr Cech,Goalkeeper,AFC,100000,2015
36.0,Gary Cahill,Defender,CFC,100000,2015
36.0,Pedro Rodriguez Ledesma,Midfielder,CFC,100000,2015
36.0,Jamie Vardy,Forward,LC,100000,2015
36.0,Roberto Firmino,Forward,LFC,100000,2015
36.0,Jordan Henderson,Midfielder,LFC,100000,2015
36.0,Wilfried Bony,Forward,MCFC,100000,2015
36.0,Fernandinho Luis Roza,Midfielder,MCFC,100000,2015
36.0,Eliaquim Mangala,Defender,MCFC,100000,2015
36.0,Fernando Reges,Midfielder,MCFC,100000,2015
47.0,Jack Wilshere,Midfielder,AFC,90000,2015
47.0,Nemanja Matic,Midfielder,CFC,90000,2015
47.0,Loic Remy,Forward,CFC,90000,2015
47.0,Andy Carroll,Forward,WHUFC,90000,2015
51.0,Baba Rahman,Defender,CFC,86000,2015
51.0,Yohan Cabaye,Midfielder,CP,86000,2015
53.0,Willian da Silva,Midfielder,CFC,85000,2015
53.0,Mamadou Sakho,Defender,LFC,85000,2015
53.0,Antonio Valencia,Defender,MUFC,85000,2015
53.0,Son Heung-Min,Forward,THFC,85000,2015
57.0,Olivier Giroud,Forward,AFC,80000,2015
57.0,Romelu Lukaku,Forward,EFC,80000,2015
57.0,Fabian Delph,Midfielder,MCFC,80000,2015
57.0,Marouane Fellaini,Midfielder,MUFC,80000,2015
57.0,Toby Alderweireld,Defender,THFC,80000,2015
57.0,Erik Lamela,Midfielder,THFC,80000,2015
63.0,Charles  N'Zogbia,Midfielder,AVFC,76538,2015
64.0,John Mikel Obi,Midfielder,CFC,75155,2015
65.0,Mathieu Debuchy,Defender,AFC,75000,2015
65.0,Branislav Ivanovic,Defender,CFC,75000,2015
65.0,Danny Ings,Forward,LFC,75000,2015
65.0,Lucas Leiva,Midfielder,LFC,75000,2015
65.0,Daley Blind,Defender,MUFC,75000,2015
65.0,Phil Jones,Defender,MUFC,75000,2015
71.0,Thomas Vermaelen,Defender,AFC,70047,2015
72.0,Per Mertesacker,Defender,AFC,70000,2015
72.0,Kevin Mirallas,Forward,EFC,70000,2015
72.0,Nathaniel Clyne,Defender,LFC,70000,2015
72.0,Philippe Coutinho,Midfielder,LFC,70000,2015
72.0,Chris Smalling,Defender,MUFC,70000,2015
72.0,Jonjo Shelvey,Midfielder,NUFC,70000,2015
72.0,Jermain Defoe,Forward,SUFC,70000,2015
72.0,Charlie Austin,Forward,SFC,70000,2015
80.0,Aleksandar Kolarov,Defender,MCFC,69000,2015
81.0,Romelu Lukaku,Forward,CFC,68638,2015
82.0,Nacho Monreal,Defender,AFC,65000,2015
82.0,Alex Oxlade Chamberlain,Midfielder,AFC,65000,2015
82.0,Adam Lallana,Midfielder,LFC,65000,2015
82.0,Dejan Lovren,Defender,LFC,65000,2015
82.0,Sergio Romero,Goalkeeper,MUFC,65000,2015
82.0,Mame Diouf,Forward,SCFC,65000,2015
82.0,Xherdan Shaqiri,Midfielder,SCFC,65000,2015
82.0,Jonny Evans,Defender,WAT,65000,2015
