No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
522,Wilfried Zaha,Crystal Palace,31,1989,4,4,2,4.76,4.76,2.19,6.59,2.3,0.22,0.22,0.1,0.31,0.31,0.3,0.1,2014
532,Cheikhou Kouyate,West Ham,31,2670,4,4,2,3.06,3.06,1.19,6.41,3.31,0.1,0.1,0.04,0.14,0.14,0.22,0.11,2014
539,Enner Valencia,West Ham,32,2119,4,4,3,6.48,6.48,2.59,8.84,2.9,0.28,0.28,0.11,0.39,0.39,0.38,0.12,2014
551,Morgan Schneiderlin,Southampton,26,2183,4,4,1,2.39,2.39,1.56,8.42,7.16,0.1,0.1,0.06,0.16,0.16,0.35,0.29,2014
587,Phil Jagielka,Everton,37,3295,4,4,0,2.39,2.39,0.07,7.11,7.0,0.07,0.07,0.0,0.07,0.07,0.19,0.19,2014
628,Chris Smalling,Manchester United,25,1881,4,4,0,1.86,1.86,0.39,4.17,4.01,0.09,0.09,0.02,0.11,0.11,0.2,0.19,2014
634,Fraizer Campbell,Crystal Palace,20,1187,4,4,0,4.22,4.22,0.47,3.95,0.77,0.32,0.32,0.04,0.36,0.36,0.3,0.06,2014
682,Branislav Ivanovic,Chelsea,38,3420,4,4,5,4.37,4.37,5.32,17.02,11.98,0.12,0.12,0.14,0.25,0.25,0.45,0.32,2014
696,Falcao,Manchester United,26,1278,4,4,4,7.16,7.16,1.89,9.53,2.63,0.5,0.5,0.13,0.64,0.64,0.67,0.19,2014
735,Jermain Defoe,Sunderland,17,1468,4,4,0,4.02,4.02,1.26,7.37,2.51,0.25,0.25,0.08,0.32,0.32,0.45,0.15,2014
750,Riyad Mahrez,Leicester,30,2091,4,4,3,4.92,4.92,6.06,11.15,3.3,0.21,0.21,0.26,0.47,0.47,0.48,0.14,2014
767,Jack Colback,Newcastle United,35,3130,4,4,6,2.82,2.82,2.34,7.6,4.67,0.08,0.08,0.07,0.15,0.15,0.22,0.13,2014
